Unnamed: 0,ID,Name,Unit,Dept Name,Supv ID,Supv Name,Checklist Item,Checklist Date,Course Name,Course Due Date,License Name,License Exp Date,Meal Issue
0,000123,Alex Rivera,Plant A,Manufacturing,9001,Jamie Supervisor,Safety Audit,2025-03-15,Forklift Training,2025-02-28,,,
1,000124,Jordan Lee,Plant A,Manufacturing,9001,Jamie Supervisor,Equipment Check,2025-04-01,HazMat Basics,2025-03-10,OSHA Cert,2025-06-30,
2,000125,Sam Patel,Plant B,Logistics,9001,Jamie Supervisor,,,"First Aid",2025-05-01,CPR Cert,2025-07-15,
3,000126,Morgan Chen,Plant B,Logistics,9001,Jamie Supervisor,Inventory Review,2025-03-20,,,"",,
4,000127,Taylor Brooks,Plant C,Operations,9001,Jamie Supervisor,Site Walkthrough,2025-04-18,Fire Safety,2025-03-25,,Late meal
5,000128,Casey Nguyen,Plant C,Operations,9001,Jamie Supervisor,,,"Lockout Tagout",2025-06-01,Electrical Cert,2025-08-01,
6,000129,Riley Gomez,Plant A,Manufacturing,9001,Jamie Supervisor,PPE Check,2025-03-30,Forklift Training,2025-02-28,,,
7,000130,Quinn O'Neil,Plant A,Manufacturing,9001,Jamie Supervisor,,,"HazMat Basics",2025-04-10,OSHA Cert,2025-09-30,
8,000131,Drew Kim,Plant B,Logistics,9001,Jamie Supervisor,Inventory Review,2025-03-20,,,"",Missed break
9,000132,Jamie Park,Plant C,Operations,9001,Jamie Supervisor,Equipment Check,2025-04-01,Fire Safety,2025-05-01,,Late meal
10,000133,Leslie Ford,Plant A,Manufacturing,9001,Jamie Supervisor,,,"First Aid",2025-06-15,CPR Cert,2025-10-01,
11,000134,Robin Shah,Plant B,Logistics,9001,Jamie Supervisor,PPE Check,2025-03-30,Forklift Training,2025-02-28,,,
12,000135,Devon Miles,Plant C,Operations,9001,Jamie Supervisor,Site Walkthrough,2025-04-18,,,"",Missed break
13,000136,Harper Diaz,Plant A,Manufacturing,9001,Jamie Supervisor,,,"HazMat Basics",2025-03-10,OSHA Cert,2025-06-30,
14,000137,Avery Collins,Plant B,Logistics,9001,Jamie Supervisor,Equipment Check,2025-04-01,Fire Safety,2025-05-01,,,
